(in /Users/glennroberts/Current_Projects/code/resource_tracking)
Creating report for development
csv_string is org.name,org.type,a.name,a.description,Injecting drug users,Men who have sex with men,Migrants/mobile populations,Prison inmates,Sex Workers,Women,Young people,a.text_for_beneficiaries,a.text_for_targets,a.target,a.budget,a.spend,a.start,a.end,a.provider,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,project
EGPAF,Ngo,IYCF,IYCF program--Distribute supplemental food to HIV exposed children and HIV positive pregnant and lactating mothers and quality nutrition services at PMTCT sites including supporting training   nutritional counseling   and demonstrations.  , , , , , , , ,"","","",132509.72,150450.45,2008-01-01,2013-01-01,EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , ,yes, , , , , , ,yes,HIV Clinical Services
EGPAF,Ngo,WFP,World Food Programme, , , , , , , ,"","","","",27513.0,2009-01-01,2009-01-01,EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , ,yes, , , , , , ,yes,HIV Clinical Services
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",900000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1080000.0,"","","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",485000.0,780000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",900000.0,"","","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Bwisige Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Tanda Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Kibagabaga HD District Hospital | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Giti Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",14957450.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",14957450.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",14957450.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",33947656.0,"","",Kabutare HD District Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CHF,Ngo,"","", , , , , , , ,"","","","","","","",ADEPR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CHF,Ngo,"",Health and Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,WIF, , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,yes, , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,WE-ACTx for HOPE, , , , , , , , , , , ,yes, , , , , , , , , , ,yes, , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,PAMASOR, , , ,yes, , , , , , , ,yes, , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,ICYUZUZO, , , ,yes, , , , , , , , , , , , , , , , , , , ,yes, , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,EPR, , , , , , , , ,yes,yes, , , , , , , , ,yes, , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,DUHAMIC, , , , , , , , , , , , , ,yes, , , , , , , , , , , ,yes,yes, , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CARITAS,yes, ,yes,yes,yes,yes, , ,yes,yes, ,yes, ,yes, , ,yes,yes,yes,yes, , ,yes,yes,yes,yes,yes, ,yes,yes,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,AEE,yes, , ,yes,yes, , , , , , , , , , , , , ,yes,yes, , ,yes, ,yes, , , , ,yes,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,ADEPR, , ,yes, , ,yes, , , , , , , , , , ,yes,yes, , , , , ,yes,yes, , , ,yes, ,USAID/ HigaUbeho Program
Intrahealth,Ngo,HIV/AIDS CLINICAL SEVICES PROGRAM,HBHC  HTXS  HVCT  HVTB  MTCT  PDCS  PDTX  MCH  FP, , , , , , , ,"","","",9274937.0,5690765.0,2007-06-06,2012-06-05,Intrahealth, , , ,yes, ,yes, , , , , , , , , , , , ,yes, , , , , , , ,yes, , , ,INTRAHEALTH INC. HIV/AIDS CLINICAL SERVICES PROGRAM
Intrahealth,Ngo,"","", , , , , , , ,"","","",51973.0,33186.51,"","",Byumba Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",20618.0,7985.23,"","",Miyove Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",49478.0,33974.25,"","",Tanda Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",50302.0,50375.28,"","",Bwisige Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",44491.0,43586.68,"","",Giti Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",55624.0,31695.13,"","",Gisiza Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",47069.0,"","","",Ruhenda Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",47124.0,"","","",Muhondo Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",55097.0,"","","",Mulindi Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",134913.0,111449.26,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",61605.0,52675.53,"","",Kigogo Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",65215.0,60081.29,"","",Mukono Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",66838.0,53551.71,"","",Munyinya Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",67492.0,61708.84,"","",Rushaki Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",66273.0,37128.67,"","",Rutare (Gicumbi) Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",65194.0,48723.12,"","",Rwesero Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",65372.0,58773.91,"","",Bushara Health Center | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",49257.0,44444.97,"","",Kayanga Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",117757.0,89693.07,"","",Kibagabaga HD District Hospital | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",69752.0,50355.97,"","",Gikomero Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",58739.0,67688.45,"","",Jali Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",65031.0,62502.16,"","",Rubungo Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",60483.0,33641.37,"","",Gihogwe Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",53598.0,37629.48,"","",Kajevuba Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",53670.0,46633.2,"","",Murambi Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",51898.0,39999.03,"","",Remera-Mbogo Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",41134.0,40521.85,"","",Rwahi Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",64864.0,60492.23,"","",Kinihira Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",65283.0,60353.65,"","",Muyanza Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",68856.0,65795.19,"","",Rukozo Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",58920.0,59910.17,"","",Tumba Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",63315.0,57202.26,"","",Kiyanza Health Center | Rulindo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",133119.0,82771.85,"","",Nyagatare HD District Hospital | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",48321.0,34475.31,"","",Cyabayaga Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",44702.0,35114.38,"","",Muhambo Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",38756.0,29209.06,"","",Nyagatare Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",35161.0,31123.07,"","",Bugaragara Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",47097.0,34921.01,"","",Cyondo Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",43395.0,0.0,"","",Mimuri Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",51371.0,52075.66,"","",Matimba Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",86877.0,57911.45,"","",Rukomo Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",53504.0,40108.98,"","",Rurenge Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",62250.0,62610.71,"","",Kabuga Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",58640.0,52011.91,"","",Ntoma Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",63227.0,56053.64,"","",Karangazi Health Center | Nyagatare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Intrahealth,Ngo,"","", , , , , , , ,"","","",9274937.0,5690765.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,INTRAHEALTH INC. HIV/AIDS CLINICAL SERVICES PROGRAM
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Bungwe Health Center | Burera, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Bubazi Health Center | Karongi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Butamwa Health Center | Nyarugenge, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Social & Scientific Systems Inc./MEMS Project,Ngo,Social & Scientific Systems Inc,Provide M&E technical assistance to USG and USG-implementing partners for PEPFAR   PMI and Reproductive Health , , , , , , , ,"","","",1311097.0,750937.0,2008-06-30,2013-06-30,Social & Scientific Systems Inc./MEMS Project, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Monitoring & Evaluation Management Services
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,WIF, , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,yes, , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,WE-ACTx for HOPE, , , , , , , , , , , ,yes, , , , , , , , , , ,yes, , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,PAMASOR, , , ,yes, , , , , , , ,yes, , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,ICYUZUZO, , , ,yes, , , , , , , , , , , , , , , , , , ,yes, , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,EPR, , , , , , , , ,yes,yes, , , , , , , , ,yes, , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,DUHAMIC, , , , , , , , ,yes, , , , ,yes, , , , , , , , , , , ,yes,yes, , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CARITAS,yes, , , ,yes,yes, , ,yes,yes, , , ,yes, , ,yes,yes,yes,yes, , , ,yes, ,yes, , ,yes,yes,USAID/ HigaUbeho Program
Population Services International (PSI),Ngo,Training ,Train private sector medical personnel (nurses from private clinics   private pharmacies) and Community Health Workers , , , , , , , ,"","","",72000.0,85774.41772,2009-10-01,2010-06-30,Population Services International (PSI), ,yes, , , , ,yes,yes, , , , , , ,yes, , , , , , , ,yes, , , , , , , ,BCSM FAMILY PLANNING 
SCMS,Ngo,"",1.0  Support the Coordinated Procurement & Distribution System (CPDS) in Commodity Forecasting   Supply Planning   Procurement and Distribution    2.0 Support CAMERWA for Procurement of ARVs   OI Drugs   Test Kits   Laboratory Equipment   Reagents and Supplies    3.0 Support CAMERWA for Warehouse   Operations   Financial   and Performance Management    4.0 Support the Pharmacy Task Force (PTF) and CAMERWA with Implementation of Active Distribution from CAMERWA to District Pharmacies and FOSAs    5.0 Support the Pharmacy Task Force (PTF) with Strengthening of Harmonized Logistics Management Information Systems    6.0 Technical Support to the National Reference Laboratory    7.0  District Focused Technical Support to Strengthen Capacity to Supervise the Effective Management of Health commodities                                                                                                                                                                                                                                                                                                                                             , , , , , , , ,"","","",6524776.0,9252226.0,2010-10-01,2011-09-30,SCMS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Supply Chain Management System (SCMS)
SCMS,Ngo,"","", , , , , , , ,"","","",21384928.5,12920279.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Supply Chain Management System (SCMS)
Population Services International (PSI),Ngo,Communication and Education ,Community mobilisation and sensitisation on Family Planning for women and men in reproductive age     , , , , , ,yes, ,"","","",171600.0,1998.415259,2009-10-01,2012-09-30,Population Services International (PSI), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,BCSM FAMILY PLANNING 
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,AEE,yes, , ,yes,yes, , , , , , , , , , , , , , ,yes, , , , ,yes, , , , ,yes,USAID/ HigaUbeho Program
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Co-financing of the Capacity Development Pooled Fund, , , , , , , ,"","","",140000000.0,148000000.0,2010-01-01,2011-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support to donor coordination at national level: Budget sport   health system financing , , , , , , , ,"","","",0.0,0.0,"","",German Cooperation (GTZ), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,District health system strengthening; health units and Hospitals,Provision of grants to District health units and District hospitals , , , , , , , ,"","","",50727000.0,45220101.0,2008-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support for  improvement in Mutuelles management capacities to the Districts  , , , , , , , ,"","","",15031313.0,17165339.0,2008-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Financial support to Equity Funds at hospital level, , , , , , , ,"","","",48500008.0,41378330.0,2008-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Financial support to PBF at Ruhengeri DH, , , , , , , ,"","","",132000000.0,181450254.0,2008-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support to the family plannin   mather safehood activities at District level    , , , , , , , ,"","","",22235800.0,21891750.0,2009-01-01,2012-12-01,German Cooperation (GTZ), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support for providers training and service provision of mental health, , , , , , , ,"","","",5000000.0,3377000.0,2009-07-01,2011-06-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , , , ,yes, , , , , , , , , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Promote community youth awareness in sexual health and GBV, , , , , , , ,"","","",100625000.0,103149280.0,2009-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support to HIV and AIDS activities/ programs, , , , , , , ,"","","",53550000.0,16157267.0,"","",German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support appropriate strategies and policies in HTM at central level and TWG HRH, , , , , , , ,"","","",0.0,0.0,2009-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Improve quality of Training of interns and residents , , , , , , , ,"","","",245153334.0,232700986.0,2008-01-01,2012-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Support the quality of hospital management and health care, , , , , , , ,"","","",7000000.0,34599501.0,2009-07-01,2011-06-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Promote certified training of hospital technicians, , , , , , , ,"","","",22089704.0,27048617.14,2010-01-01,2010-12-01,German cooperation (GTZ   KfW   DED   CIM   InWent), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"",Provision of medical equipments and infrastructure, , , , , , , ,"","","","",175313921.0,2009-07-01,2011-06-01,German Cooperation (GTZ), , , , , ,yes,yes,yes, , , , , , ,yes, , , , , , , , ,yes, , , , , , ,Health program of the German Development Cooperation GDC 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","","","","",District of Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","","","","",District of Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","","","","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","","","","",District of Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","","","","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,URUNANA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,SWAA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,RWAMREC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,RRP+, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,HAGURUKA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,FAWE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,ARCT RUHUKA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CRS, , ,yes, , , , , ,yes, , , , ,yes, , , ,yes, , , , , , , ,yes, , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Capacity Building, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CHF,yes, ,yes,yes,yes,yes, , ,yes,yes, ,yes, ,yes, , ,yes,yes,yes,yes, , ,yes,yes,yes,yes,yes, ,yes,yes,USAID/ HigaUbeho Program
CHF,Ngo,"",Building Resilience, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CHF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,USAID/ HigaUbeho Program
CHF,Ngo,"",Health & Social Services, , , , , , , ,"","","","","",2009-10-26,2014-09-25,CHF,yes, ,yes,yes,yes,yes, , ,yes,yes, ,yes, ,yes, , ,yes,yes,yes,yes, , ,yes,yes,yes,yes,yes, ,yes,yes,USAID/ HigaUbeho Program
Adaptive Eyewear,Ngo,"",CHWs   nurses and teachers assess the vision of Rwandans aged 8 years and above., , , , , , , ,Everyone aged 8 years and above.,Everyone aged 8 years and above.,"",347058.0,126968.0,2009-08-04,2011-12-31,District of Gicumbi, , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , ,Vision for a Nation
