1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
,,,,,,Traditional medicine and informal care and treatment,,Traditional medicine and informal care and treatment,Traditional medicine refers to health practices@ approaches@ knowledge@ and beliefs incorporating plant@ animal and mineral-based medicines@ spiritual therapies@ manual techniques and exercises@ applied singularly or in combination to treat@ diagnose@ and prevent HIV or maintain well-being@ e.g. traditional Chinese medicine@ homeopathy@ naturopathy@ herbal medicine@ and chiropractic methods. Complementary therapies are additional forms of treatment used as an adjunct to standard therapy@ while alternative therapies are used instead of standard therapy. These services are usually delivered by alternative and informal providers and specifcally include AIDS-related activities.,Nha,c. Treatment of diseases,,Quality Assurance,,2.01.10 Traditional medicine and informal care and treatment,1334,,,,,,,,,,,,,,,,,,,,
,,,,,Inpatient HIV Care and Support,,,Inpatient HIV Care and Support,Inpatient palliative care  refers to treatment that addresses pain and discomfort associated with HIV@ and requiring an overnight stay in a facility or other end-of-life care. This includes all inpatient basic health care and support activities aimed at optimizing quality of life for HIV-positive people throughout the continuum of care by means of symptom diagnosis and relief@ and culturally-appropriate end-of-life care. Clinic-based inpatient activities for HIV-positive children within programmes for orphans and other vulnerable children affected by HIV should be coded under Orphans and Vulnerable Children and the antiretroviral treatment coded under antiretroviral therapy.,Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.1.4 IP care that cannot be disaggregated Inpatient HIV Care and Support /2.02.02 Inpatient palliative care,1335,,,,,,,,,,,,,,,,,,,,
,,Fight against TB,,,,,,Fight against TB,,Mtef,c. Treatment of diseases,,Quality Assurance,,03  FIGHT AGAINST TUBERCULOSIS AND LEPROSIS,1336,,,,,,,,,,,,,,,,,,,,
,,,DOTS Expansion and Enhancement ,,,,,DOTS Expansion and Enhancement ,Expansion and enhancement of Directly Observered Treatement Schedule (DOTS),Nsp,c. Treatment of diseases,,Quality Assurance,,Objective 1: Pursue high quality DOTS expansion and enhancement ,1337,,,,,,,,,,,,,,,,,,,,
,,,,Improving Diagnosis,,,,Improving Diagnosis,Programs to improve diagnosis of TB,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 1.1 Improving Diagnosis ,1338,,,,,,,,,,,,,,,,,,,,
,,,,Support of Patients,,,,Support of Patients,Programs aiming to improve the quality of care of TB patients,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 1.2  Patient support ,1339,,,,,,,,,,,,,,,,,,,,
,,,,Program management@ logistics and supervision,,,,Program management@ logistics and supervision,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 1.4.2 Program management@ logistics and supervision,1340,,,,,,,,,,,,,,,,,,,,
,,,,Human Resource Development,,,,Human Resource Development,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 1.4.3 Human resource development (HRD),1341,,,,,,,,,,,,,,,,,,,,
,,,TB/HIV@ MDR-TB and other Challenges,,,,,TB/HIV@ MDR-TB and other Challenges,Special cases of TB control@ prevention@ and care,Nsp,c. Treatment of diseases,,Quality Assurance,,Objective 2: To Address TB/HIV@ MDR-TB and Other Challenges ,1342,,,,,,,,,,,,,,,,,,,,
,,,,TB/HIV Activities,,,,TB/HIV Activities,Programs aiming at linkages of TB and HIV,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 2.1 : Scaling up the implementation of TB/HIV Activities,1343,,,,,,,,,,,,,,,,,,,,
,,,,MDR/XDR TB Case Management and Surveillance,,,,MDR/XDR TB Case Management and Surveillance,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 2.2: Strengthen case management and surveillance of MDR/XDR TB,1344,,,,,,,,,,,,,,,,,,,,
,,,,Strengthen Screening in High-Risk Groups,,,,Strengthen Screening in High-Risk Groups,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 2.3.1: High Risk Groups,1345,,,,,,,,,,,,,,,,,,,,
,,,,Infection Control,,,,Infection Control,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 2.3.2: Infection control,1346,,,,,,,,,,,,,,,,,,,,
,,,,Childhood TB Control Inverventions,,,,Childhood TB Control Inverventions,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 2.3.3 Childhood Tuberculosis control interventions,1347,,,,,,,,,,,,,,,,,,,,
,,,,Practical Approach to Lung Health (PAL),,,,Practical Approach to Lung Health (PAL),The Practical Approach to Lung health (PAL) is a syndromic approach to the management of patients who attend primary health care services for respiratory symptoms. The PAL strategy targets multi-purpose health workers@ nurses@ doctors@ and managers in primary health care settings with successful TB control programmes in low and middle-income countries. This item includes any activities that focus on implementing or promoting PAL practices,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 3.2 Practical approach to lung health (PAL),1348,,,,,,,,,,,,,,,,,,,,
,,,,Community Care,,,,Community Care,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA: 5.2 Community care,1353,,,,,,,,,,,,,,,,,,,,
,,,Engaging Care Providers,,,,,Engaging Care Providers,,Nsp,c. Treatment of diseases,,Quality Assurance,,Objective 4: Engage all care providers (PPM),1349,,,,,,,,,,,,,,,,,,,,
,,,,Engaging Care Providers in conformity with ISTC,,,,Engaging Care Providers in conformity with ISTC,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 4.1:  To engage all care providers of private sector to deliver quality-assured TB care in conformity with ISTC,1350,,,,,,,,,,,,,,,,,,,,
,,,Empowering People with TB and Communities,,,,,Empowering People with TB and Communities,,Nsp,c. Treatment of diseases,,Quality Assurance,,Objective 5: Empower People with TB and Communities ,1351,,,,,,,,,,,,,,,,,,,,
,,,,Advocacy@ Comminication@ and Patient Charter,,,,Advocacy@ Comminication@ and Patient Charter,,Nsp,c. Treatment of diseases,,Quality Assurance,,SDA 5.1: Advocacy@ communication and patient charter,1352,,,,,,,,,,,,,,,,,,,,
,,,Research into TB,,,,,Research into TB,,Nsp,c. Treatment of diseases,,Quality Assurance,,Objective 6: To enable and promote research ,1354,,,,,,,,,,,,,,,,,,,,
,,Fight Other Endemic Diseases,,,,,,Fight Other Endemic Diseases,,Mtef,c. Treatment of diseases,,Quality Assurance,,04  FIGHT OTHER ENDEMIC DISEASES,1355,,,,,,,,,,,,,,,,,,,,
,,Fight Against Diseases Of Children,,,,,,Fight Against Diseases Of Children,Programs focusing on fighting disease in children under the age of 5 (five),Mtef,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,05  FIGHT AGAINST DISEASES OF CHILDREN,1356,,,,,,,,,,,,,,,,,,,,
,,Promotion Of Hygiene And Environmental Health,,,,,,Promotion Of Hygiene And Environmental Health,,Mtef,c. Treatment of diseases,,Quality Assurance,,07  PROMOTION OF HYGIENE AND ENVIRONMENTAL HEALTH,1357,,,,,,,,,,,,,,,,,,,,
,,Fight Against Non-Communicable Diseases,,,,,,Fight Against Non-Communicable Diseases,Programs aiming to fight non-communicable diseases (e.g. Heart disease@ cancer),Mtef,c. Treatment of diseases,,Quality Assurance,,08  FIGHT AGAINST THE NON COMMUNICABLE DISEASES,1358,,,,,,,,,,,,,,,,,,,,
,,Diseases related to Family Planning,,,,,,Diseases related to Family Planning,,Mtef,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,09  FAMILY PLANNING,1359,,,,,,,,,,,,,,,,,,,,
,,Diseases related to Reproductive Health,,,,,,Diseases related to Reproductive Health,,Mtef,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,10  REPRODUCTIVE HEALTH,1360,,,,,,,,,,,,,,,,,,,,
,,Community Health,,,,,,Community Health,,Mtef,c. Treatment of diseases,,Quality Assurance,,11  COMMUNITY HEALTH,1361,,,,,,,,,,,,,,,,,,,,
,,Quality Of Health Services,,,,,,Quality Of Health Services,,Mtef,c. Treatment of diseases,,Quality Assurance,,12  QUALITY OF HEALTH SERVICES,1362,,,,,,,,,,,,,,,,,,,,
,,Performance Based Financing Health Center (Pbf),,,,,,Performance Based Financing Health Center (Pbf),,Mtef,c. Treatment of diseases,,Quality Assurance,,13  PERFORMANCE BASED FINANCING HEALTH CENTER (PBF),1363,,,,,,,,,,,,,,,,,,,,
,,Performance Based Financing District Hospital (Pbf),,,,,,Performance Based Financing District Hospital (Pbf),,Mtef,c. Treatment of diseases,,Quality Assurance,,14  PERFORMANCE BASED FINANCING DISTRICT HOSPITAL (PBF),1364,,,,,,,,,,,,,,,,,,,,
,,Performance Based Financing Referer Hospital (Pbf),,,,,,Performance Based Financing Referer Hospital (Pbf),,Mtef,c. Treatment of diseases,,Quality Assurance,,15  PERFORMANCE BASED FINANCING REFERER HOSPITAL (PBF),1365,,,,,,,,,,,,,,,,,,,,
,,Information@ Education And Communication For Health,,,,,,Information@ Education And Communication For Health,,Mtef,c. Treatment of diseases,,Quality Assurance,,16  INFORMATION@ EDUCATION AND COMMUNICATION FOR HEALTH,1366,,,,,,,,,,,,,,,,,,,,
,Development Of National Specialised Reference And Research Services,,,,,,,Development Of National Specialised Reference And Research Services,Strengthening specialised services@ Narional Referral Hospitals and Research Capabilities,Mtef,Across all 3 objectives,,Quality Assurance,,07  DEVELOPMENT OF NATIONAL SPECIALISED REFERENCE AND RESEARCH SERVICES,1367,,,,,,,,,,,,,,,,,,,,
,,Research for Malaria,,,,,,Research for Malaria,,Code,Across all 3 objectives,,Quality Assurance,,Research for Malaria,1368,,,,,,,,,,,,,,,,,,,,
,,Research for HIV,,,,,,Research for HIV,"HIV-related research is defned as the generation of knowledge that can be used to prevent disease@ promote@ restore@ maintain@ protect@ and improve the population's development and the people's well-being. It covers researchers and professionals engaged in the conception or creation of new knowledge@ products@ processes@ methods@ and systems for HIV and in the management of the programmes concerned with HIV and AIDS. Managers and administrators should be included when they spend at least 10% of their time supporting research activities. Researchers include postgraduate students but do not include technicians. Technicians and equivalent staff are people whose main tasks require technical knowledge and experience. They participate in R&D by performing scientifc and technical tasks involving the application of concepts and operational methods@ normally under the supervision of researchers. This category excludes operations research on health systems aimed to improve health outcomes@ including project or programme evaluation.
Research-with the exception of operations research-is not directly linked to the provision of services@ and therefore@ might be considered to be a satellite component of the expanded response to HIV. Care should be taken to correctly classify research activities properly and not to include other activities frequently confused with research@ such as population studies for epidemiological surveillance@ or monitoring and evaluation of the programmes.",Nha,Across all 3 objectives,,Quality Assurance,,Research for HIV ,1369,,,,,,,,,,,,,,,,,,,,
,,,Biomedical research,,,,,Biomedical research,Biomedical research@ which comprises the study of detection@ cause@ treatment@ and rehabilitation of persons with specifc diseases or conditions@ the design of methods@ drugs@ and devices to address these health problems@ and scientifc investigations in areas such as the cellular and molecular bases of disease@ genetics@ and immunology.,Nha,Across all 3 objectives,,Quality Assurance,,8.01 Biomedical research,1370,,,,,,,,,,,,,,,,,,,,
,,,Clinical research,,,,,Clinical research,Clinical research@ which is based on the observation and treatment of patients or volunteers.,Nha,Across all 3 objectives,,Quality Assurance,,8.02 Clinical research,1371,,,,,,,,,,,,,,,,,,,,
,,,Epidemiological research,,,,,Epidemiological research,Epidemiological research@ which is concerned with the study and control of diseases and exposures and other situations suspected of being harmful to health: care should be taken to exclude epidemiological surveillance.,Nha,Across all 3 objectives,,Quality Assurance,,8.03 Epidemiological research,1372,,,,,,,,,,,,,,,,,,,,
,,,Social science research,,,,,Social science research,"Social science research@ which investigates the broad social aspects of HIV.
In includes behavioural research@ which is associated with risk factors for ill health and disease with a view to promoting health and preventing disease. Care should be taken to exclude epidemiological surveillance as well as evaluation of preventive interventions.
It also includes research into the economic aspects of HIV and the AIDS epidemic",Nha,Across all 3 objectives,,Quality Assurance,,8.04 Social science research,1373,,,,,,,,,,,,,,,,,,,,
,,,Vaccine-related research,,,,,Vaccine-related research,Vaccine-related research. Specifc activities aimed to support basic@ laboratory@ clinical@ and feld-related research for developing and testing a HIV vaccine,Nha,Across all 3 objectives,,Quality Assurance,,8.05 Vaccine-related research,1374,,,,,,,,,,,,,,,,,,,,
,,Research for TB,,,,,,Research for TB,TB-related research is defined as the generation of knowledge that can be used to prevent disease@ promote@ restore@ maintain@ protect@ and improve the population's development and the people's well-being. It covers researchers and professionals engaged in the conception or creation of new knowledge@ products@ processes@ methods@ and systems for TB and in the management of the programmes concerned with TB. Managers and administrators should be included when they spend at least 10% of their time supporting research activities. Researchers include postgraduate students but do not include technicians. Technicians and equivalent staff are people whose main tasks require technical knowledge and experience. They participate in R&D by performing scientifc and technical tasks involving the application of concepts and operational methods@ normally under the supervision of researchers. This category excludes operations research on health systems aimed to improve health outcomes@ including project or programme evaluation.,Nha,Across all 3 objectives,,Quality Assurance,,Research for TB,1375,,,,,,,,,,,,,,,,,,,,
,,Research for Family Planning and Reproductive Health,,,,,,Research for Family Planning and Reproductive Health,Research-with the exception of operations research-is not directly linked to the provision of services@ and therefore@ might be considered to be a satellite component of the expanded response to HIV. Care should be taken to correctly classify research activities properly and not to include other activities frequently confused with research@ such as population studies for epidemiological surveillance@ or monitoring and evaluation of the programmes.,Nha,Across all 3 objectives,,Quality Assurance,,Research for Family Planning and Reproductive Health,1376,,,,,,,,,,,,,,,,,,,,
,,Research for Child Health,,,,,,Research for Child Health,Research that aims to improve Child Health is defined as the generation of knowledge that can be used to prevent disease@ promote@ restore@ maintain@ protect@ and improve the well-being of individuals under the age of five (5) years,Nha,Across all 3 objectives,,Quality Assurance,,Research for Child Health,1377,,,,,,,,,,,,,,,,,,,,
,,Other research,,,,,,Other research,,,Across all 3 objectives,,Quality Assurance,,Other research,,,,,,,,,,,,,,,,,,,,,
,Reinforcement Of Family Planning And Reproductive Health,,,,,,,Reinforcement Of Family Planning And Reproductive Health,,Mtef,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,08  REINFORCEMENT OF FAMILY PLANNING AND REPRODUCTIVE HEALTH,1378,,,,,,,,,,,,,,,,,,,,
,,Family Planning,,,,,,Family Planning,Programs to help families manage the number and spacing of children in a family through the practice of contraception or other methods of birth control.,Code,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Family Planning,1379,,,,,,,,,,,,,,,,,,,,
,,,Family Planning Care at Facilities,,,,,Family Planning Care at Facilities,Clinical care and consultations related to Family Planning - do not include public health programs (IEC/BCC campaigns@ field programs),Code,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Family Planning Facility Care,1380,,,,,,,,,,,,,,,,,,,,
,,,,Consultation and Issuance Of Oral Contraceptives,,,,Consultation and Issuance Of Oral Contraceptives,Family planning consultations involving issuance of oral contraceptives,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.1 FP consultation and issuance of ORAL CONTRACEPTIVES,1381,,,,,,,,,,,,,,,,,,,,
,,,,Consultation and Issuance Of Condoms,,,,Consultation and Issuance Of Condoms,Family planning consultations involving issuance of male or female condoms,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.2 FP consultation and issuance of CONDOMS,1382,,,,,,,,,,,,,,,,,,,,
,,,,Consultation and Issuance of IUD,,,,Consultation and Issuance of IUD,Family planning consultations involving issuance of IUDs,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.3 FP consultation and issuance of IUD,1383,,,,,,,,,,,,,,,,,,,,
,,,,Consultation and Issuance of Implants,,,,Consultation and Issuance of Implants,Family planning consultations involving a contraceptive implant,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.4 FP consultation and issuance of IMPLANTS,1384,,,,,,,,,,,,,,,,,,,,
,,,,Consultation and Issuance of Injectables,,,,Consultation and Issuance of Injectables,Family planning consultations involving delivery of a contraceptive injectable (e.g. Depo-Provera),Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.5 FP consultation and issuance of INJECTABLES,1385,,,,,,,,,,,,,,,,,,,,
,,,,Other Family Planning Consultations,,,,Other Family Planning Consultations,Family planning consultations involving issuance of other Family Planning Methods,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.3.3.15.6 Other FP consultations,1386,,,,,,,,,,,,,,,,,,,,
,,,,FP Methods - Tube Ligature,,,,FP Methods - Tube Ligature,Tube ligature conducted at a health facility as a family planning option,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,HC.1.1.3 FP Methods - Tube ligature,1387,,,,,,,,,,,,,,,,,,,,
,,,Family Planning Programmes,,,,,Family Planning Programmes,Programs with the goal of improving family planning options for men and women. Include public health programs (IEC/BCC campaigns@ field programs)@ and does not include clinical-level consultations,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Family Planning Programmes,1388,,,,,,,,,,,,,,,,,,,,
,,,,Oral Contraceptive Family Planning rogrammes,,,,Oral Contraceptive Family Planning rogrammes,Family Planning Programs that use Oral Contraceptives to improve family planning options for women,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,ORAL CONTRACEPTIVES FP programmes,1389,,,,,,,,,,,,,,,,,,,,
,,,,Condom Family Planning Programmes,,,,Condom Family Planning Programmes,Family Planning Programs that use Condomss to improve family planning options.  Includes both male and female condoms.  Care should be taken to ensure that HIV-prevention programs related to condom distribution are not included. In order to decide@ an organization should look at whether the primary purpose of the program is to prevent HIV transmission or to improve family planning options.,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,CONDOM FP programmes,1390,,,,,,,,,,,,,,,,,,,,
,,,,IUD Family Planning programmes,,,,IUD Family Planning programmes,Family Planning Programs that use IUDs to improve family planning options for women,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,IUD FP programmes,1391,,,,,,,,,,,,,,,,,,,,
,,,,Implant-related Family Planning programmes,,,,Implant-related Family Planning programmes,Family Planning Programs that use implants to improve family planning options for women,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,IMPLANTS FP programmes,1392,,,,,,,,,,,,,,,,,,,,
,,,,Injectable-related Family Planning programs,,,,Injectable-related Family Planning programs,Family Planning Programs that use injectables (e.g. Depo-Provera) to improve family planning options for women,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,INJECTABLES FP programs,1393,,,,,,,,,,,,,,,,,,,,
,,,,Other  Family Planning programs,,,,Other  Family Planning programs,Family Planning Programs that use other methods.,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,OTHER FP programs,1394,,,,,,,,,,,,,,,,,,,,
,,,,FP programs that could not be disaggregated,,,,FP programs that could not be disaggregated,Family Planning Programs that use multiple methods where it is not possible to disaggregate,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,FP programs that could not be disaggregated,1395,,,,,,,,,,,,,,,,,,,,
,,,,Adolescent reproductive health,,,,Adolescent reproductive health,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Adolescent reproductive health,1396,,,,,,,,,,,,,,,,,,,,
,,,,Programs for general gynecological care,,,,Programs for general gynecological care,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Programs for general gynecological care,1397,,,,,,,,,,,,,,,,,,,,
,,,,Other RH programs,,,,Other RH programs,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Other RH programs,1398,,,,,,,,,,,,,,,,,,,,
,,Reproductive Health,,,,,,Reproductive Health,Comprises Reproductive Health medical and paramedical services delivered during an episode of curative care. Adistinction is made between inpatient care@ outpatient care@ and home care. With inpatient curative care@ patients stay overnight in the health facility. Curative inpatient or outpatient care includes@ for example@ the diagnosis and treatment of STIs@ or the treatment of cancers of the reproductive system@ such as cervical or prostate cancer.,Code,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Reproductive Health Services,1399,,,,,,,,,,,,,,,,,,,,
,,,Inpatient RH Care,,,,,Inpatient RH Care,Care provided in health facilities for reproductive health that results in an overnight stay,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Reproductive Health Services- inpatient care,1400,,,,,,,,,,,,,,,,,,,,
,,,,Deliveries,,,,Deliveries,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Deliveries,1401,,,,,,,,,,,,,,,,,,,,
,,,,Pathologies related to pregnancy,,,,Pathologies related to pregnancy,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Pathologies related to pregnancy,1402,,,,,,,,,,,,,,,,,,,,
,,,Antenatal care,,,,,Antenatal care,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Antenatal care,1403,,,,,,,,,,,,,,,,,,,,
,,,Postnatal care,,,,,Postnatal care,Postnatal care for reproductive health includes well-baby care < 28 days - after 28 days@ include in Child Health,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,, Postnatal care,1404,,,,,,,,,,,,,,,,,,,,
,,,General gynecological care,,,,,General gynecological care,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,General gynecological care,1405,,,,,,,,,,,,,,,,,,,,
,,,Reproductive Health Programs,,,,,Reproductive Health Programs,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Reproductive Health Programs,1406,,,,,,,,,,,,,,,,,,,,
,,,,Antenatal care programs,,,,Antenatal care programs,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Antenatal care programs,1407,,,,,,,,,,,,,,,,,,,,
,,,,Programs related to safe delivery,,,,Programs related to safe delivery,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Programs related to safe delivery,1408,,,,,,,,,,,,,,,,,,,,
,,,,Emergency obstetric care programs,,,,Emergency obstetric care programs,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Emergency obstetric care programs,1409,,,,,,,,,,,,,,,,,,,,
,,,,Other Maternal health programs,,,,Other Maternal health programs,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Other Maternal health programs,1410,,,,,,,,,,,,,,,,,,,,
,,,,Maternal health programs that could not be disaggregated.,,,,Maternal health programs that could not be disaggregated.,,Nha,a. FP/MCH/RH/Nutrition services,,Quality Assurance,,Maternal health programs that could not be disaggregated.,1411,,,,,,,,,,,,,,,,,,,,
,Diseases Prevention,,,,,,,Diseases Prevention,"Consolidating@ expanding and improving services for the prevention and
control of infectious diseases ",Mtef,b. Prevention and control of diseases,,Quality Assurance,,09  DISEASES PREVENTION,1412,,,,,,,,,,,,,,,,,,,,
,,Prevention of Malaria,,,,,,Prevention of Malaria,"Spending for the primary purpose of :
Providing goods or implementing activities for malaria prevention and control
Providing support to malaria prevention activities
",Mtef,b. Prevention and control of diseases,,Quality Assurance,,01  FIGHT AGAINST MALARIA,1413,,,,,,,,,,,,,,,,,,,,
,,,Larviciding@ elimination of standing water,,,,,Larviciding@ elimination of standing water,"Includes:
- dry-belting villages in rice-cultivation areas (i.e. restricting use of land surrounding human
communities to the production of dry crops)
- marsh alteration
-application of insecticides for larviciding (oils@ organophosphates@ insect growth regulators@ and
microbial insecticides)
- introduction of natural enemies such as larvivorous fish
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.1 Larviciding@ elimination of standing water,1414,,,,,,,,,,,,,,,,,,,,
,,,Training within public health programmes for malaria,,,,,Training within public health programmes for malaria,"Training includes:
- curative care training: training of health personnel on early detection and diagnosis of malaria,
training of lab technicians, training on management of simple cases and severe malaria
- preventive training: training of hygiene technician and other personnel in vector control and in
materials impregnation, training of community health workers on IEC techniques
- surveillance training: training of health personnel on data management and disease surveillance,
training capacity to monitor antimalarial drug efficacy
- general training: training on management of malaria programme, build capacity for malaria research
- community service delivery training: training of traditional birth attendants and community-based
health workers
- business training: training shopkeepers on the appropriate choice and dose of antimalarial drugs for
children@ and use of user-friendly packaging of drugs
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.2 Training within public health programmes for malaria,1415,,,,,,,,,,,,,,,,,,,,
,,,IEC (malaria awareness),,,,,IEC (malaria awareness),"IEC for:
- promoting a 'net culture'
- raising public awareness about malaria
- households to maintain basic sanitation measures particularly maintaining proper drainage for used water and reducing open areas with
stagnant water
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.3 IEC (malaria awareness),1416,,,,,,,,,,,,,,,,,,,,
,,,Surveillance and monitoring,,,,,Surveillance and monitoring,"Surveillance and monitoring includes:
* surveillance of incidence of malaria morbidity and mortality - especially for early warning and
detection of malaria epidemics@ and for monitoring impacts of malaria control activities
* monitoring and evaluation of resistance to antimalarial drugs and resistance of vectors to insecticides
* monitoring of service delivery and/or malaria activity implementation
* participation of community in malaria surveillance and monitoring
* surveillance of mosquitoes (e.g. by using insect collectors or remote sensing and climate modeling to
map and monitor mosquito populations)
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.4 Surveillance and monitoring,1417,,,,,,,,,,,,,,,,,,,,
,,,ITN Distribution,,,,,ITN Distribution,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.5 ITN Distribution,1418,,,,,,,,,,,,,,,,,,,,
,,,Indoor Residual Spraying (IRS) Programs,,,,,Indoor Residual Spraying (IRS) Programs,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.2.6 Indoor Residual Spraying (IRS) Programs,1419,,,,,,,,,,,,,,,,,,,,
,,Prevention of HIV/AIDS and Sexually Communicable Diseases,,,,,,Prevention of HIV/AIDS and Sexually Communicable Diseases,,Mtef,b. Prevention and control of diseases,,Quality Assurance,,02  FIGHT AGAINST HIV/AIDS AND SEXUALLY COMMUNICABLE DISEASES,1420,,,,,,,,,,,,,,,,,,,,
,,,Prevention of Sexual HIV Transmission,,,,,Prevention of Sexual HIV Transmission,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1 Reduced Sexual Transmission of HIV,1421,,,,,,,,,,,,,,,,,,,,
,,,,Reduction of Risky Sexual Intercourse,,,,Reduction of Risky Sexual Intercourse,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1 Reduction of Risky Sexual Intercourse,1422,,,,,,,,,,,,,,,,,,,,
,,,,,General population reached by comprehensive prevention programs   ,,,General population reached by comprehensive prevention programs   ,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.1 General population reached by comprehensive prevention programs   ,1423,,,,,,,,,,,,,,,,,,,,
,,,,,,Abstinence/ Be Faithful programmes,,Abstinence/ Be Faithful programmes,,Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.4.1   Abstinence/ Be Faithful programmes 1.01 Communication for social and behavioural change,1424,,,,,,,,,,,,,,,,,,,,
,,,,,,Other IEC/BCC programmes,,Other IEC/BCC programmes,"Information education programs covers health services of health education that enable families@groups@ organizations@ and communities to play an active role in achieving@ protecting@ and sustaining their own health (WHO). HIV/AIDS-related information and education programs could be communicated through many channels. Programmes should focus on social change and social determinants of individual change. A campaign for social and behaviour change provides general information addressing regions@ states or countries. This entry includes@
but is not limited to@ brochures@ pamphlets@ handbooks@ posters@ newspaper or magazine articles@ comic books@ TV or radio shows or spots@ songs@ dramas or interactive theatre.
Includes:
- Interpersonal communication (community meetings@ groups discussion)
-Mass media communication: Radio@ television or 'one-way' communication support (brochures@ poster and others)
Excludes:
- VCT counseling sessions
- Psychological support
",Nha,b. Prevention and control of diseases,,Quality Assurance,,HC.6.3.1.4.2   Other IEC/BCC programmes 1.01 Communication for social and behavioural change,1425,,,,,,,,,,,,,,,,,,,,
,,,,,Prevention Programs for Young Women,,,Prevention Programs for Young Women,,Nsp,b. Prevention and control of diseases,,Quality Assurance,,1.1.1.2 Women aged 15-24 are reached by comprehensive prevention programs,1426,,,,,,,,,,,,,,,,,,,,
